Bibtex Key,Aesthetic Tag,Approach,Evaluation Criterion,Graph Type,Paper TItle,Participants,Statistical Evaluation,Statistically Significant,Task,Task Group,Task Type,|E|,|G|,|N|
purchase_how_2007,Layout Stability,Quantitative,Task Time,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,Which page has been changed the most over the years?,Topology,Adjacency,15-30,3,14-20
purchase_how_2007,Layout Stability,Quantitative,Error Rate,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,Which page has been changed the most over the years?,Topology,Adjacency,15-30,3,14-20
purchase_how_2007,Layout Stability,Quantitative,Task Time,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,In which year did the site reduce in size by a quarter?,Overview,Overview,15-30,3,14-20
purchase_how_2007,Layout Stability,Quantitative,Error Rate,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,In which year did the site reduce in size by a quarter?,Overview,Overview,15-30,3,14-20
purchase_how_2007,Layout Stability,Quantitative,Task Time,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,In which year did [page name] become accessible through only one other page?,Topology,Accessibility,15-30,3,14-20
purchase_how_2007,Layout Stability,Quantitative,Error Rate,Node-Link,How Important Is the “Mental Map”? – An Empirical Investigation of a Dynamic Graph Layout Algorithm,20,Yes,No,In which year did [page name] become accessible through only one other page?,Topology,Accessibility,15-30,3,14-20
huang_layout_2006,Edge Crossings,Quantitative,Error Rate,Node-Link,Layout Effects on Sociogram Perception,23,No,No,Find 3 most important actors and rate them according to their importance levels,Overview,Overview,23,2,14
huang_layout_2006,Edge Crossings,Quantitative,Task Time,Node-Link,Layout Effects on Sociogram Perception,23,No,No,"Determine how many groups are in the network, and separate the 4 highlighted actors according to their group membership, given the condition that one actor should not belong to more than one group, and one group should not include only one actor",Topology,Find Connected Components,23,2,14
huang_layout_2006,Edge Crossings,Quantitative,Error Rate,Node-Link,Layout Effects on Sociogram Perception,23,No,No,"Determine how many groups are in the network, and separate the 4 highlighted actors according to their group membership, given the condition that one actor should not belong to more than one group, and one group should not include only one actor",Topology,Find Connected Components,23,2,14
purchase_validating_1996,Edge Crossings,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,Yes,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,18-28,2,16
purchase_validating_1996,Symmetry,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,No,How long is the shortest path between two given nodes?,Topology,Find Shortest Path,18-28,2,16
purchase_validating_1996,Edge Bends,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,Yes,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Accessibility,18-28,2,16
purchase_validating_1996,Edge Bends,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,Yes,What is the minimum number of arcs that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Accessibility,18-28,2,16
purchase_validating_1996,Edge Crossings,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,Yes,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Accessibility,18-28,2,16
purchase_validating_1996,Edge Crossings,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,Yes,"What is the minimum number of arcs that must be removed in order to
disconnect two given nodes such that there is no path between them?",Topology,Accessibility,18-28,2,16
purchase_validating_1996,Symmetry,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,No,What is the minimum number of nodes that must be removed in order to disconnect two given nodes such that there is no path between them?,Topology,Accessibility,18-28,2,16
purchase_validating_1996,Symmetry,Quantitative,Error Rate,Node-Link,Validating graph drawing aesthetics,,Yes,No,"What is the minimum number of arcs that must be removed in order to
disconnect two given nodes such that there is no path between them?",Topology,Accessibility,18-28,2,16
huang_graph_2009,Edge Flow,Quantitative,Task Time,Node-Link,A graph reading behavior: Geodesic-path tendency,33,Yes,Yes,"In our experiments, the task of finding a shortest path between
two nodes is adopted.",Topology,Find Shortest Path,,,
huang_evaluating_2016,"Angular Resolution, Crossing Resolution, Edge Crossings, Edge Length",Quantitative,Task Time,Node-Link,Evaluating Overall Quality of Dynamic Network Visualizations,,Yes,Yes,Path Finding Task,Topology,Find Shortest Path,,,15-50
huang_evaluating_2016,"Angular Resolution, Crossing Resolution, Edge Crossings, Edge Length",Quantitative,Effort,Node-Link,Evaluating Overall Quality of Dynamic Network Visualizations,,Yes,Yes,Path Finding Task,Topology,Find Shortest Path,,,15-50
huang_evaluating_2016,"Angular Resolution, Crossing Resolution, Edge Crossings, Edge Length",Quantitative,Efficiency,Node-Link,Evaluating Overall Quality of Dynamic Network Visualizations,,Yes,Yes,Path Finding Task,Topology,Find Shortest Path,,,15-50
huang_establishing_2013,Crossing Resolution,Quantitative,Error Rate,Node-Link,Establishing aesthetics based on human graph reading behavior: two eye tracking studies,16,Yes,Yes,Node task: find the most connected node (the node that has most incident edges),Topology,Adjacency,32-43,2,20-32
